Muestra,Muestreo_1,Muestreo_2,Muestreo_3,Muestreo_4,Muestreo_5
Sitio_1,1,1,1,1,1
Sitio_2,6,9,9,9,9
Sitio_3,11,12,12,12,12
Sitio_4,7,9,10,11,12
Sitio_5,10,12,12,12,12
Sitio_6,6,14,14,14,14
Sitio_7,10,10,10,10,10
